Sl. No,Date,Vessel_type,lat_deg,lon_deg,lat_deg_end,lon_deg_end,Location,ID,lat_deg_updated,Location_updated,Unused_lat_Marshal_range,Arbitrary_lon_Marshal_range,,Source
21,18-12-2022,Medium,16.4,73.33333333,,,Achara,655,,,,,,
22,18-12-2022,Medium,16.4,73.33333333,,,Achara,655,,,,,,
23,18-12-2022,Medium,16.4,73.33333333,,,Achara,655,,,,,,
24,18-12-2022,Medium,16.4,73.33333333,,,Achara,655,,,,,,
113,30-12-2022,Small,16.13333333,73.2,,,Achara,828,16.13333333,Achara,,,,GPS - fisher
114,30-12-2022,Small,16.13333333,73.2,,,Achara,829,16.13333333,Achara,,,,GPS - fisher
132,06-01-2023,Medium,16.11666667,73.2,,,Achara,881,16.11666667,Achara,,,,GPS - fisher
140,10-01-2023,Small,16.15,73.4,,,Achara,914,16.15,Achara,,,,GPS - fisher
141,10-01-2023,Small,16.15,73.4,,,Achara,914,16.15,Achara,,,,GPS - fisher
142,10-01-2023,Small,16.15,73.4,,,Achara,914,16.15,Achara,,,,GPS - fisher
143,10-01-2023,Small,16.15,73.4,,,Achara,914,16.15,Achara,,,,GPS - fisher
201,,Medium,16.16666667,,,,Achara,Marshal,16.16666667,Achara,,73.2,,Logbook
301,04-02-2023,Large,16.05,73.41666667,,,Achara,1155,16.05,,,,,
302,21-02-2023,Medium,16.13333333,73.31666667,,,Achara,1203,16.13333333,,,,,
318,05-03-2023,Small,16.13333333,73.4,,,Achara,1324,16.13333333,,,,,
319,05-03-2023,Small,16.13333333,73.4,,,Achara,1324,16.13333333,,,,,
320,05-03-2023,Small,16.13333333,73.4,,,Achara,1324,16.13333333,,,,,
321,05-03-2023,Small,16.13333333,73.4,,,Achara,1324,16.13333333,,,,,
348,19-04-2023,Medium,16.16166667,73.41666667,,,Achara,1657,16.16166667,,,,,
349,19-04-2023,Medium,16.16166667,73.41666667,,,Achara,1657,16.16166667,,,,,
216,,Medium,,,,,Bhogwe beach,Marshal,,Bhogwe beach,15.98333333,73.2,,
220,,Medium,,,,,Bhogwe beach,Marshal,,Bhogwe beach,15.96666667,73.2,,
224,,Medium,,,,,Bhogwe beach,Marshal,,Bhogwe beach,15.95,73.2,,
228,,Medium,,,,,Bhogwe beach,Marshal,,Bhogwe beach,15.93333333,73.2,,
232,,Medium,,,,,Bhogwe beach,Marshal,,Bhogwe beach,15.91666667,73.2,,
236,,Medium,,,,,Bhogwe beach,Marshal,,Bhogwe beach,15.9,73.2,,
240,,Medium,,,,,Bhogwe beach,Marshal,,Bhogwe beach,15.88333333,73.2,,
244,,Medium,,,,,Bhogwe beach,Marshal,,Bhogwe beach,15.86666667,73.2,,
4,12-12-2022,Small,16.05763333,73.4275,,,Chivla,588,16.05763333,Chivla,,,,GPS - fisher
11,15-12-2022,Small,16.06666667,73.41666667,,,Chivla,622,16.06666667,Chivla,,,,GPS - fisher
102,30-12-2022,Small,16.08333333,73.41666667,,,Chivla,811,16.08333333,Chivla,,,,GPS - fisher
103,30-12-2022,Small,16.08333333,73.41666667,,,Chivla,811,16.08333333,Chivla,,,,GPS - fisher
104,30-12-2022,Small,16.08333333,73.41666667,,,Chivla,811,16.08333333,Chivla,,,,GPS - fisher
