Location,Start_lat,End_lat,arbitrary_lon,Centroid_lat,Centroid_lon,Centroid_lat_ub_large,Centroid_lat_lb_large,Comments
Ganpatipule,17.16732296,17.13051602,72.989,17.14772633,73.26435186,,,
Ratnagiri,17.0190917,16.95075458,72.989,16.99126439,73.26447407,,,
Pawas,16.89420463,16.8594438,72.989,16.87482967,73.28301168,,,
Purnagad,16.8205213,16.79620891,72.989,16.80730694,73.30011773,,,
Vijaydurg,16.58135288,16.53808222,72.989,16.55307768,73.31705789,,,
Devgadh,16.40090961,16.35444878,72.989,16.37332046,73.35961655,16.40543,16.2775,
Kunkeshwar,16.34151514,16.32128794,72.989,16.33156798,73.39273805,,,
Tambaldeg,16.31104789,16.2755245,72.989,16.28364342,73.40878971,,,"Same as Tambaredi, Kunkeshwar"
Achara,16.2023368,16.17562172,72.989,16.18891357,73.43869509,16.2775,16.15032,
Tondavali,16.17801179,16.14483274,72.989,16.16232962,73.44501895,,,
Sarjekot,16.14417675,16.09159244,72.989,16.11472463,73.44588001,,,Same as Juva
Talashil,16.11277565,16.0877079,72.989,16.10029168,73.45817091,,,
Malvan,16.08215269,16.0269843,72.989,16.06172856,73.45390236,16.15032,16.04056,
Chivla,16.08060673,16.05996418,72.989,16.0671449,73.45782614,,,
Rock garden,16.06494706,16.06047265,72.989,16.06126046,73.45465868,,,
Dandi,16.0547886,16.04620748,72.989,16.05250165,73.46683224,,,Same as Dandi Temple
Sindhudurg fort,16.04752425,16.03798761,72.989,16.04208623,73.45713533,,,Same as Behind fort and near rocks
Tarkarli,16.03738562,15.9924233,72.989,16.01838,73.48717,,,Same as Modeshwar vaadi and Jadavwadi Tarkali beach
Devbagh,16.00352226,15.96637191,72.989,15.9814846,73.49105655,,,
Karli river,15.96681395,15.95565511,72.989,15.96304736,73.50124465,,,
Bhogwe beach,15.95512924,15.93587222,72.989,15.94883416,73.50384161,,,
Nevati rock,15.94652769,15.93446128,72.989,15.93896694,73.51545238,,,
Lighthouse,15.93957576,15.87958947,72.989,15.91577577,73.46313166,16.04056,15.86342,
Khavane,15.92450822,15.90894335,72.989,15.91773045,73.56701227,,,
Kelus,15.90784818,15.88944003,72.989,15.90701564,73.58856201,,,
Vengurla,15.8495153,15.81017337,72.989,15.84075728,73.62963564,15.86342,15.7421,
Shiroda,15.78263385,15.75182931,72.989,15.75949184,73.66121162,,,
Redi,15.75306823,15.71619589,72.989,15.75182412,73.66063368,,,
Goa,,,,,,,,
Panaji,,,,,,,,
Betul,,,,,,,,
Dhavpani,,,,,,,,
Kulsunde,,,,,,,,
