Location,Centroid_lat,Centroid_lon,Centroid_lat_ub_large,Centroid_lat_lb_large,Centroid_lat_ub_small,Centroid_lat_lb_small,Centroid_lat_ub_small_nm,Centroid_lat_lb_small_nm,Centroid_lat_ub_medium,Centroid_lat_lb_medium
Ganpatipule,17.14772633,73.26435186,NA,NA,17.16643176,17.1290209,17.15072633,17.14472633,17.20885185,17.08660081
Ratnagiri,16.99126439,73.26447407,NA,NA,17.00996982,16.97255896,16.99426439,16.98826439,17.05238991,16.93013887
Pawas,16.87482967,73.28301168,NA,NA,16.8935351,16.85612424,16.87782967,16.87182967,16.93595519,16.81370415
Purnagad,16.80730694,73.30011773,NA,NA,16.82601237,16.78860151,16.81030694,16.80430694,16.86843246,16.74618142
Vijaydurg,16.55307768,73.31705789,NA,NA,16.57178311,16.53437225,16.55607768,16.55007768,16.6142032,16.49195216
Devgadh,16.37332046,73.35961655,16.40543,16.2775,16.39202589,16.35461503,16.37632046,16.37032046,16.43444598,16.31219494
Kunkeshwar,16.33156798,73.39273805,NA,NA,16.35027341,16.31286255,16.33456798,16.32856798,16.3926935,16.27044246
Tambaldeg,16.28364342,73.40878971,NA,NA,16.30234885,16.26493799,16.28664342,16.28064342,16.34476894,16.2225179
Achara,16.18891357,73.43869509,16.2775,16.15032,16.207619,16.17020814,16.19191357,16.18591357,16.25003909,16.12778805
Tondavali,16.16232962,73.44501895,NA,NA,16.18103505,16.14362419,16.16532962,16.15932962,16.22345514,16.1012041
Sarjekot,16.11472463,73.44588001,NA,NA,16.13343006,16.0960192,16.11772463,16.11172463,16.17585015,16.05359911
Talashil,16.10029168,73.45817091,NA,NA,16.11899711,16.08158625,16.10329168,16.09729168,16.1614172,16.03916616
Malvan,16.06172856,73.45390236,16.15032,16.04056,16.08043399,16.04302313,16.06472856,16.05872856,16.12285408,16.00060304
Chivla,16.0671449,73.45782614,NA,NA,16.08585033,16.04843947,16.0701449,16.0641449,16.12827042,16.00601938
Rock garden,16.06126046,73.45465868,NA,NA,16.07996589,16.04255503,16.06426046,16.05826046,16.12238598,16.00013494
Dandi,16.05250165,73.46683224,NA,NA,16.07120708,16.03379622,16.05550165,16.04950165,16.11362717,15.99137613
Sindhudurg fort,16.04208623,73.45713533,NA,NA,16.06079166,16.0233808,16.04508623,16.03908623,16.10321175,15.98096071
Tarkarli,16.01838,73.48717,NA,NA,16.03708543,15.99967457,16.02138,16.01538,16.07950552,15.95725448
Devbagh,15.9814846,73.49105655,NA,NA,16.00019003,15.96277917,15.9844846,15.9784846,16.04261012,15.92035908
Karli river,15.96304736,73.50124465,NA,NA,15.98175279,15.94434193,15.96604736,15.96004736,16.02417288,15.90192184
Bhogwe beach,15.94883416,73.50384161,NA,NA,15.96753959,15.93012873,15.95183416,15.94583416,16.00995968,15.88770864
Nevati rock,15.93896694,73.51545238,NA,NA,15.95767237,15.92026151,15.94196694,15.93596694,16.00009246,15.87784142
Lighthouse,15.91577577,73.46313166,16.04056,15.86342,15.9344812,15.89707034,15.91877577,15.91277577,15.97690129,15.85465025
Khavane,15.91773045,73.56701227,NA,NA,15.93643588,15.89902502,15.92073045,15.91473045,15.97885597,15.85660493
Kelus,15.90701564,73.58856201,NA,NA,15.92572107,15.88831021,15.91001564,15.90401564,15.96814116,15.84589012
Vengurla,15.84075728,73.62963564,15.86342,15.7421,15.85946271,15.82205185,15.84375728,15.83775728,15.9018828,15.77963176
Shiroda,15.75949184,73.66121162,NA,NA,15.77819727,15.74078641,15.76249184,15.75649184,15.82061736,15.69836632
Redi,15.75182412,73.66063368,NA,NA,15.77052955,15.73311869,15.75482412,15.74882412,15.81294964,15.6906986
Goa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Panaji,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Betul,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dhavpani,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kulsunde,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
