Location,Vessel_Number,Sampling,Vessel_type,Catch_site,Catch_depth_m,Catch_dist_km,Species,Total_weight_kg,Average_length_cm,No_of_Individuals,CPUE,season,group,Gear,Duration_days,n_cells,Depth,Dist_mainland_km,Distance_RiverMouth_km,Slope,chl_M,chl_PostM,chl_PreM,EKE_M,EKE_PostM,EKE_PreM,SST_M,SST_PostM,SST_PreM,chl,eke,sst
Malvan,1,Systematic,Medium,Vengurla,30.2390586,,Blacktip shark,2,55,1,1,Post-monsoon,Sharks,Gillnet: Large-mesh,2,78,29.75,6.611624002,16.05412292,10.05490112,865.243211,896.9341008,802.1211313,0.012314475,0.000417651,0.000836046,31892.45373,28.0081793,28.72542777,1063.5625,2.66E-05,27.97378731
Malvan,1,Systematic,Medium,Vengurla,30.2390586,,,0,,0,0,Post-monsoon,Rays,Gillnet: Large-mesh,2,78,29.75,6.611624002,16.05412292,10.05490112,865.243211,896.9341008,802.1211313,0.012314475,0.000417651,0.000836046,31892.45373,28.0081793,28.72542777,1063.5625,2.66E-05,27.97378731
Malvan,1,Systematic,Medium,Vengurla,30.2390586,,,0,,0,0,Post-monsoon,Skates,Gillnet: Large-mesh,2,78,29.75,6.611624002,16.05412292,10.05490112,865.243211,896.9341008,802.1211313,0.012314475,0.000417651,0.000836046,31892.45373,28.0081793,28.72542777,1063.5625,2.66E-05,27.97378731
Malvan,2,Systematic,Medium,Malvan,32.84395262,,,0,,0,0,Post-monsoon,Sharks,Gillnet: Large-mesh,1,39,32.5,15.19727707,16.32975006,7.641405106,366.9807113,810.585493,808.5400125,0.01446405,7.74E-05,0.001152957,32057.42944,27.94630965,28.63487464,869.833313,0.000102292,27.92022705
Malvan,2,Systematic,Medium,Malvan,32.84395262,,,0,,0,0,Post-monsoon,Rays,Gillnet: Large-mesh,1,39,32.5,15.19727707,16.32975006,7.641405106,366.9807113,810.585493,808.5400125,0.01446405,7.74E-05,0.001152957,32057.42944,27.94630965,28.63487464,869.833313,0.000102292,27.92022705
Malvan,2,Systematic,Medium,Malvan,32.84395262,,,0,,0,0,Post-monsoon,Skates,Gillnet: Large-mesh,1,39,32.5,15.19727707,16.32975006,7.641405106,366.9807113,810.585493,808.5400125,0.01446405,7.74E-05,0.001152957,32057.42944,27.94630965,28.63487464,869.833313,0.000102292,27.92022705
Malvan,4,Systematic,Medium,Malvan,52.38065773,,,0,,0,0,Post-monsoon,Sharks,Gillnet: Large-mesh,1,13,56,32.50867081,33.05967712,13.92136765,220.5677132,550.1218086,262.5526912,0.022533455,0.003591074,7.43E-05,32110.99959,28.06315624,28.80219188,503.5161438,0.000560067,28.04535866
Malvan,4,Systematic,Medium,Malvan,52.38065773,,,0,,0,0,Post-monsoon,Rays,Gillnet: Large-mesh,1,13,56,32.50867081,33.05967712,13.92136765,220.5677132,550.1218086,262.5526912,0.022533455,0.003591074,7.43E-05,32110.99959,28.06315624,28.80219188,503.5161438,0.000560067,28.04535866
Malvan,4,Systematic,Medium,Malvan,52.38065773,,,0,,0,0,Post-monsoon,Skates,Gillnet: Large-mesh,1,13,56,32.50867081,33.05967712,13.92136765,220.5677132,550.1218086,262.5526912,0.022533455,0.003591074,7.43E-05,32110.99959,28.06315624,28.80219188,503.5161438,0.000560067,28.04535866
Malvan,6,Systematic,Small,Sindhudurg fort,17.21458853,,,0,,0,0,Post-monsoon,Sharks,Gillnet: Large-mesh,1,5,17,4.391631126,6.853233337,25.83451462,1575.46001,1977.056934,1693.140015,0.002220685,0.001494335,0.002150531,32166.79961,27.75637169,28.60160255,1756.382324,0.00149258,27.81363487
